TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06071000103;06;071;1.03;4
TRACT;06071000104;06;071;1.04;4
TRACT;06071000105;06;071;1.05;4
TRACT;06071000107;06;071;1.07;4
TRACT;06071000108;06;071;1.08;4
TRACT;06071000109;06;071;1.09;4
TRACT;06071000111;06;071;1.11;4
TRACT;06071000115;06;071;1.15;4
TRACT;06071000117;06;071;1.17;4
TRACT;06071000118;06;071;1.18;4
TRACT;06071000119;06;071;1.19;4
TRACT;06071000120;06;071;1.20;4
TRACT;06071000121;06;071;1.21;4
TRACT;06071000122;06;071;1.22;4
TRACT;06071000201;06;071;2.01;4
TRACT;06071000203;06;071;2.03;4
TRACT;06071000205;06;071;2.05;4
TRACT;06071000207;06;071;2.07;4
TRACT;06071000208;06;071;2.08;4
TRACT;06071000304;06;071;3.04;4
TRACT;06071000305;06;071;3.05;4
TRACT;06071000306;06;071;3.06;4
TRACT;06071000307;06;071;3.07;4
TRACT;06071000308;06;071;3.08;4
TRACT;06071000401;06;071;4.01;4
TRACT;06071000403;06;071;4.03;4
TRACT;06071000404;06;071;4.04;4
TRACT;06071000501;06;071;5.01;4
TRACT;06071000503;06;071;5.03;4
TRACT;06071000504;06;071;5.04;4
TRACT;06071000603;06;071;6.03;4
TRACT;06071000604;06;071;6.04;4
TRACT;06071000605;06;071;6.05;4
TRACT;06071000606;06;071;6.06;4
TRACT;06071000804;06;071;8.04;4
TRACT;06071000808;06;071;8.08;4
TRACT;06071000812;06;071;8.12;4
TRACT;06071000813;06;071;8.13;4
TRACT;06071000814;06;071;8.14;4
TRACT;06071000815;06;071;8.15;4
TRACT;06071000816;06;071;8.16;4
TRACT;06071000817;06;071;8.17;4
TRACT;06071000818;06;071;8.18;4
TRACT;06071000819;06;071;8.19;4
TRACT;06071000820;06;071;8.20;4
TRACT;06071000821;06;071;8.21;4
TRACT;06071000823;06;071;8.23;4
TRACT;06071000824;06;071;8.24;4
TRACT;06071000825;06;071;8.25;4
TRACT;06071000826;06;071;8.26;4
TRACT;06071000901;06;071;9.01;4
TRACT;06071000903;06;071;9.03;4
TRACT;06071000904;06;071;9.04;4
TRACT;06071001001;06;071;10.01;4
TRACT;06071001002;06;071;10.02;4
TRACT;06071001101;06;071;11.01;4
TRACT;06071001103;06;071;11.03;4
TRACT;06071001104;06;071;11.04;4
TRACT;06071001200;06;071;12.00;4
TRACT;06071001305;06;071;13.05;4
TRACT;06071001307;06;071;13.07;4
TRACT;06071001308;06;071;13.08;4
TRACT;06071001309;06;071;13.09;4
TRACT;06071001310;06;071;13.10;4
TRACT;06071001311;06;071;13.11;4
TRACT;06071001312;06;071;13.12;4
TRACT;06071001400;06;071;14.00;4
TRACT;06071001501;06;071;15.01;4
TRACT;06071001503;06;071;15.03;4
TRACT;06071001504;06;071;15.04;4
TRACT;06071001600;06;071;16.00;4
TRACT;06071001702;06;071;17.02;4
TRACT;06071001703;06;071;17.03;4
TRACT;06071001704;06;071;17.04;4
TRACT;06071001706;06;071;17.06;4
TRACT;06071001707;06;071;17.07;4
TRACT;06071001803;06;071;18.03;4
TRACT;06071001804;06;071;18.04;4
TRACT;06071001806;06;071;18.06;4
TRACT;06071001808;06;071;18.08;4
TRACT;06071001809;06;071;18.09;4
TRACT;06071001810;06;071;18.10;4
TRACT;06071001812;06;071;18.12;4
TRACT;06071001813;06;071;18.13;4
TRACT;06071001901;06;071;19.01;4
TRACT;06071001906;06;071;19.06;4
TRACT;06071001907;06;071;19.07;4
TRACT;06071001908;06;071;19.08;4
TRACT;06071001909;06;071;19.09;4
TRACT;06071001910;06;071;19.10;4
TRACT;06071001911;06;071;19.11;4
TRACT;06071002011;06;071;20.11;4
TRACT;06071002013;06;071;20.13;4
TRACT;06071002014;06;071;20.14;4
TRACT;06071002015;06;071;20.15;4
TRACT;06071002016;06;071;20.16;4
TRACT;06071002017;06;071;20.17;4
TRACT;06071002018;06;071;20.18;4
TRACT;06071002019;06;071;20.19;4
TRACT;06071002021;06;071;20.21;4
TRACT;06071002023;06;071;20.23;4
TRACT;06071002025;06;071;20.25;4
TRACT;06071002027;06;071;20.27;4
TRACT;06071002028;06;071;20.28;4
TRACT;06071002029;06;071;20.29;4
TRACT;06071002031;06;071;20.31;4
TRACT;06071002035;06;071;20.35;4
TRACT;06071002037;06;071;20.37;4
TRACT;06071002038;06;071;20.38;4
TRACT;06071002039;06;071;20.39;4
TRACT;06071002040;06;071;20.40;4
TRACT;06071002041;06;071;20.41;4
TRACT;06071002042;06;071;20.42;4
TRACT;06071002043;06;071;20.43;4
TRACT;06071002044;06;071;20.44;4
TRACT;06071002045;06;071;20.45;4
TRACT;06071002046;06;071;20.46;4
TRACT;06071002047;06;071;20.47;4
TRACT;06071002048;06;071;20.48;4
TRACT;06071002049;06;071;20.49;4
TRACT;06071002050;06;071;20.50;4
TRACT;06071002051;06;071;20.51;4
TRACT;06071002101;06;071;21.01;4
TRACT;06071002103;06;071;21.03;4
TRACT;06071002105;06;071;21.05;4
TRACT;06071002107;06;071;21.07;4
TRACT;06071002109;06;071;21.09;4
TRACT;06071002111;06;071;21.11;4
TRACT;06071002112;06;071;21.12;4
TRACT;06071002204;06;071;22.04;4
TRACT;06071002206;06;071;22.06;4
TRACT;06071002207;06;071;22.07;4
TRACT;06071002306;06;071;23.06;4
TRACT;06071002307;06;071;23.07;4
TRACT;06071002308;06;071;23.08;4
TRACT;06071002309;06;071;23.09;4
TRACT;06071002310;06;071;23.10;4
TRACT;06071002311;06;071;23.11;4
TRACT;06071002312;06;071;23.12;4
TRACT;06071002313;06;071;23.13;4
TRACT;06071002314;06;071;23.14;4
TRACT;06071002315;06;071;23.15;4
TRACT;06071002403;06;071;24.03;4
TRACT;06071002404;06;071;24.04;4
TRACT;06071002405;06;071;24.05;4
TRACT;06071002406;06;071;24.06;4
TRACT;06071002501;06;071;25.01;4
TRACT;06071002503;06;071;25.03;4
TRACT;06071002504;06;071;25.04;4
TRACT;06071002602;06;071;26.02;4
TRACT;06071002604;06;071;26.04;4
TRACT;06071002606;06;071;26.06;4
TRACT;06071002608;06;071;26.08;4
TRACT;06071002609;06;071;26.09;4
TRACT;06071002610;06;071;26.10;4
TRACT;06071002611;06;071;26.11;4
TRACT;06071002703;06;071;27.03;4
TRACT;06071002705;06;071;27.05;4
