TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06083000101;06;083;1.01;4
TRACT;06083000102;06;083;1.02;4
TRACT;06083000103;06;083;1.03;2,4
TRACT;06083000201;06;083;2.01;4
TRACT;06083000202;06;083;2.02;4
TRACT;06083000301;06;083;3.01;4
TRACT;06083000302;06;083;3.02;4
TRACT;06083000400;06;083;4.00;4
TRACT;06083000501;06;083;5.01;2,4
TRACT;06083000502;06;083;5.02;4
TRACT;06083000600;06;083;6.00;4
TRACT;06083000700;06;083;7.00;2,4
TRACT;06083000801;06;083;8.01;4
TRACT;06083000805;06;083;8.05;4
TRACT;06083000806;06;083;8.06;4
TRACT;06083000900;06;083;9.00;4
TRACT;06083001001;06;083;10.01;4
TRACT;06083001002;06;083;10.02;4
TRACT;06083001101;06;083;11.01;4
TRACT;06083001102;06;083;11.02;4
TRACT;06083001203;06;083;12.03;4
TRACT;06083001206;06;083;12.06;4
TRACT;06083001208;06;083;12.08;4
TRACT;06083001306;06;083;13.06;4
TRACT;06083001307;06;083;13.07;4
TRACT;06083001308;06;083;13.08;4
TRACT;06083001403;06;083;14.03;4
TRACT;06083001404;06;083;14.04;4
TRACT;06083001500;06;083;15.00;2,4
TRACT;06083001601;06;083;16.01;4
TRACT;06083001604;06;083;16.04;4
TRACT;06083001704;06;083;17.04;4
TRACT;06083001706;06;083;17.06;2,4
TRACT;06083001800;06;083;18.00;1,2,4
TRACT;06083001905;06;083;19.05;1,2
TRACT;06083001907;06;083;19.07;1,2
TRACT;06083001908;06;083;19.08;1,2
TRACT;06083001909;06;083;19.09;1
TRACT;06083001910;06;083;19.10;1
TRACT;06083001911;06;083;19.11;1,2
TRACT;06083001912;06;083;19.12;1
TRACT;06083002005;06;083;20.05;1
TRACT;06083002006;06;083;20.06;1
TRACT;06083002008;06;083;20.08;1
TRACT;06083002009;06;083;20.09;1
TRACT;06083002010;06;083;20.10;1
TRACT;06083002011;06;083;20.11;1
TRACT;06083002012;06;083;20.12;1
TRACT;06083002013;06;083;20.13;1
TRACT;06083002014;06;083;20.14;1
TRACT;06083002015;06;083;20.15;1
TRACT;06083002101;06;083;21.01;1
TRACT;06083002102;06;083;21.02;1
TRACT;06083002103;06;083;21.03;1
TRACT;06083002205;06;083;22.05;1
TRACT;06083002206;06;083;22.06;1
TRACT;06083002209;06;083;22.09;1
TRACT;06083002210;06;083;22.10;1
TRACT;06083002211;06;083;22.11;1
TRACT;06083002303;06;083;23.03;1
TRACT;06083002304;06;083;23.04;1
TRACT;06083002307;06;083;23.07;1
TRACT;06083002308;06;083;23.08;1
TRACT;06083002309;06;083;23.09;1
TRACT;06083002310;06;083;23.10;1
TRACT;06083002405;06;083;24.05;1
TRACT;06083002406;06;083;24.06;1
TRACT;06083002407;06;083;24.07;1
TRACT;06083002408;06;083;24.08;1
TRACT;06083002409;06;083;24.09;1
TRACT;06083002410;06;083;24.10;1
TRACT;06083002503;06;083;25.03;1
TRACT;06083002504;06;083;25.04;1
TRACT;06083002703;06;083;27.03;1
TRACT;06083002705;06;083;27.05;1
TRACT;06083002706;06;083;27.06;1
TRACT;06083002707;06;083;27.07;1
TRACT;06083002708;06;083;27.08;1
TRACT;06083002709;06;083;27.09;1
TRACT;06083002710;06;083;27.10;1
TRACT;06083002802;06;083;28.02;1
TRACT;06083002806;06;083;28.06;1
TRACT;06083002808;06;083;28.08;1
TRACT;06083002809;06;083;28.09;1
TRACT;06083002906;06;083;29.06;4
TRACT;06083002907;06;083;29.07;2,4
TRACT;06083002909;06;083;29.09;4
TRACT;06083002913;06;083;29.13;4
TRACT;06083002914;06;083;29.14;4
TRACT;06083002924;06;083;29.24;4
TRACT;06083002926;06;083;29.26;4
TRACT;06083002932;06;083;29.32;1,2,3,4
TRACT;06083002933;06;083;29.33;4
TRACT;06083002934;06;083;29.34;4
TRACT;06083002935;06;083;29.35;4
TRACT;06083002936;06;083;29.36;4
TRACT;06083002937;06;083;29.37;4
TRACT;06083003001;06;083;30.01;4
TRACT;06083003004;06;083;30.04;4
TRACT;06083003005;06;083;30.05;4
TRACT;06083003007;06;083;30.07;4
TRACT;06083003102;06;083;31.02;1,3
TRACT;06083980000;06;083;9800.00;4
TRACT;06083980100;06;083;9801.00;3,4,6
TRACT;06083980200;06;083;9802.00;1
TRACT;06083980300;06;083;9803.00;4
TRACT;06083980400;06;083;9804.00;1
TRACT;06083980500;06;083;9805.00;1
TRACT;06083990000;06;083;9900.00;1,3,4,5,6
