TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06089010100;06;089;101.00;1
TRACT;06089010200;06;089;102.00;1
TRACT;06089010300;06;089;103.00;1
TRACT;06089010400;06;089;104.00;1
TRACT;06089010500;06;089;105.00;1
TRACT;06089010601;06;089;106.01;1
TRACT;06089010602;06;089;106.02;1
TRACT;06089010603;06;089;106.03;1
TRACT;06089010702;06;089;107.02;1
TRACT;06089010703;06;089;107.03;1
TRACT;06089010704;06;089;107.04;1
TRACT;06089010803;06;089;108.03;1
TRACT;06089010804;06;089;108.04;1
TRACT;06089010805;06;089;108.05;1
TRACT;06089010806;06;089;108.06;1
TRACT;06089010807;06;089;108.07;1
TRACT;06089010900;06;089;109.00;1
TRACT;06089011001;06;089;110.01;1
TRACT;06089011002;06;089;110.02;1
TRACT;06089011100;06;089;111.00;1
TRACT;06089011209;06;089;112.09;1
TRACT;06089011300;06;089;113.00;1
TRACT;06089011401;06;089;114.01;1
TRACT;06089011402;06;089;114.02;1
TRACT;06089011403;06;089;114.03;1
TRACT;06089011501;06;089;115.01;1
TRACT;06089011502;06;089;115.02;1
TRACT;06089011600;06;089;116.00;1
TRACT;06089011701;06;089;117.01;1
TRACT;06089011702;06;089;117.02;1
TRACT;06089011703;06;089;117.03;1
TRACT;06089011801;06;089;118.01;1
TRACT;06089011802;06;089;118.02;1
TRACT;06089011803;06;089;118.03;1
TRACT;06089011900;06;089;119.00;1
TRACT;06089012000;06;089;120.00;1
TRACT;06089012101;06;089;121.01;1
TRACT;06089012102;06;089;121.02;1
TRACT;06089012200;06;089;122.00;1
TRACT;06089012301;06;089;123.01;1
TRACT;06089012302;06;089;123.02;1
TRACT;06089012303;06;089;123.03;1
TRACT;06089012400;06;089;124.00;1
TRACT;06089012500;06;089;125.00;1
TRACT;06089012603;06;089;126.03;1
TRACT;06089012604;06;089;126.04;1
TRACT;06089012605;06;089;126.05;1
TRACT;06089012606;06;089;126.06;1
TRACT;06089012701;06;089;127.01;1
TRACT;06089012702;06;089;127.02;1
