TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06107000101;06;107;1.01;1,2
TRACT;06107000102;06;107;1.02;1,2
TRACT;06107000202;06;107;2.02;1
TRACT;06107000203;06;107;2.03;1
TRACT;06107000204;06;107;2.04;1
TRACT;06107000302;06;107;3.02;1
TRACT;06107000303;06;107;3.03;1
TRACT;06107000304;06;107;3.04;1
TRACT;06107000401;06;107;4.01;1
TRACT;06107000402;06;107;4.02;1
TRACT;06107000501;06;107;5.01;1
TRACT;06107000502;06;107;5.02;1
TRACT;06107000600;06;107;6.00;1
TRACT;06107000701;06;107;7.01;1
TRACT;06107000702;06;107;7.02;1
TRACT;06107000801;06;107;8.01;1
TRACT;06107000802;06;107;8.02;1
TRACT;06107000901;06;107;9.01;1
TRACT;06107000902;06;107;9.02;1
TRACT;06107001005;06;107;10.05;1
TRACT;06107001006;06;107;10.06;1
TRACT;06107001007;06;107;10.07;1
TRACT;06107001008;06;107;10.08;1
TRACT;06107001009;06;107;10.09;1
TRACT;06107001010;06;107;10.10;1
TRACT;06107001011;06;107;10.11;1
TRACT;06107001012;06;107;10.12;1
TRACT;06107001101;06;107;11.01;1
TRACT;06107001102;06;107;11.02;1
TRACT;06107001200;06;107;12.00;1
TRACT;06107001303;06;107;13.03;1
TRACT;06107001304;06;107;13.04;1
TRACT;06107001305;06;107;13.05;1
TRACT;06107001306;06;107;13.06;1
TRACT;06107001400;06;107;14.00;1
TRACT;06107001501;06;107;15.01;1
TRACT;06107001502;06;107;15.02;1
TRACT;06107001601;06;107;16.01;1
TRACT;06107001602;06;107;16.02;1
TRACT;06107001701;06;107;17.01;1
TRACT;06107001703;06;107;17.03;1
TRACT;06107001705;06;107;17.05;1
TRACT;06107001706;06;107;17.06;1
TRACT;06107001800;06;107;18.00;1
TRACT;06107001901;06;107;19.01;1
TRACT;06107001902;06;107;19.02;1
TRACT;06107002002;06;107;20.02;1
TRACT;06107002003;06;107;20.03;1
TRACT;06107002004;06;107;20.04;1
TRACT;06107002006;06;107;20.06;1
TRACT;06107002008;06;107;20.08;1
TRACT;06107002009;06;107;20.09;1
TRACT;06107002010;06;107;20.10;1
TRACT;06107002011;06;107;20.11;1
TRACT;06107002100;06;107;21.00;1
TRACT;06107002202;06;107;22.02;1
TRACT;06107002203;06;107;22.03;1
TRACT;06107002204;06;107;22.04;1
TRACT;06107002302;06;107;23.02;1
TRACT;06107002303;06;107;23.03;1
TRACT;06107002304;06;107;23.04;1
TRACT;06107002401;06;107;24.01;1
TRACT;06107002402;06;107;24.02;1
TRACT;06107002403;06;107;24.03;1
TRACT;06107002500;06;107;25.00;1
TRACT;06107002601;06;107;26.01;1
TRACT;06107002602;06;107;26.02;1
TRACT;06107002701;06;107;27.01;1,2
TRACT;06107002702;06;107;27.02;1,2
TRACT;06107002800;06;107;28.00;1
TRACT;06107002901;06;107;29.01;1
TRACT;06107002903;06;107;29.03;1
TRACT;06107002904;06;107;29.04;1
TRACT;06107003001;06;107;30.01;1
TRACT;06107003002;06;107;30.02;1
TRACT;06107003100;06;107;31.00;1
TRACT;06107003201;06;107;32.01;1
TRACT;06107003202;06;107;32.02;1
TRACT;06107003301;06;107;33.01;1
TRACT;06107003302;06;107;33.02;1
TRACT;06107003401;06;107;34.01;1
TRACT;06107003402;06;107;34.02;1
TRACT;06107003501;06;107;35.01;1
TRACT;06107003503;06;107;35.03;1
TRACT;06107003504;06;107;35.04;1
TRACT;06107003601;06;107;36.01;1
TRACT;06107003602;06;107;36.02;1
TRACT;06107003700;06;107;37.00;1
TRACT;06107003801;06;107;38.01;1
TRACT;06107003802;06;107;38.02;1
TRACT;06107003902;06;107;39.02;1
TRACT;06107003903;06;107;39.03;1
TRACT;06107003904;06;107;39.04;1
TRACT;06107004000;06;107;40.00;1
TRACT;06107004102;06;107;41.02;1
TRACT;06107004103;06;107;41.03;1
TRACT;06107004104;06;107;41.04;1
TRACT;06107004200;06;107;42.00;1
TRACT;06107004301;06;107;43.01;1
TRACT;06107004302;06;107;43.02;1
TRACT;06107004401;06;107;44.01;1
TRACT;06107004402;06;107;44.02;1
TRACT;06107004500;06;107;45.00;1
