TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06029000102;06;029;1.02;A2
TRACT;06029000103;06;029;1.03;A2
TRACT;06029000104;06;029;1.04;A2
TRACT;06029000105;06;029;1.05;A2
TRACT;06029000106;06;029;1.06;A1,A2
TRACT;06029000201;06;029;2.01;A2
TRACT;06029000202;06;029;2.02;A1,A2
TRACT;06029000300;06;029;3.00;A1,A2
TRACT;06029000400;06;029;4.00;A1,A2
TRACT;06029000504;06;029;5.04;A1
TRACT;06029000505;06;029;5.05;A1
TRACT;06029000506;06;029;5.06;A1
TRACT;06029000507;06;029;5.07;A1,A2
TRACT;06029000508;06;029;5.08;A1
TRACT;06029000509;06;029;5.09;A1
TRACT;06029000510;06;029;5.10;A1
TRACT;06029000601;06;029;6.01;A2
TRACT;06029000602;06;029;6.02;A2
TRACT;06029000603;06;029;6.03;A2
TRACT;06029000701;06;029;7.01;A2
TRACT;06029000702;06;029;7.02;A2
TRACT;06029000800;06;029;8.00;A2
TRACT;06029000902;06;029;9.02;A2
TRACT;06029000903;06;029;9.03;A2
TRACT;06029000904;06;029;9.04;A2
TRACT;06029000905;06;029;9.05;A2
TRACT;06029000906;06;029;9.06;A2
TRACT;06029000907;06;029;9.07;A2
TRACT;06029000908;06;029;9.08;A2
TRACT;06029000909;06;029;9.09;A2
TRACT;06029000911;06;029;9.11;A2
TRACT;06029000912;06;029;9.12;A2
TRACT;06029000913;06;029;9.13;A2
TRACT;06029000914;06;029;9.14;A2
TRACT;06029001001;06;029;10.01;A2
TRACT;06029001002;06;029;10.02;A2
TRACT;06029001003;06;029;10.03;A2
TRACT;06029001101;06;029;11.01;A2
TRACT;06029001104;06;029;11.04;A2
TRACT;06029001105;06;029;11.05;A2
TRACT;06029001106;06;029;11.06;A2
TRACT;06029001107;06;029;11.07;A2
TRACT;06029001201;06;029;12.01;A2
TRACT;06029001202;06;029;12.02;A2
TRACT;06029001301;06;029;13.01;A2
TRACT;06029001302;06;029;13.02;A2
TRACT;06029001401;06;029;14.01;A2
TRACT;06029001402;06;029;14.02;A2
TRACT;06029001500;06;029;15.00;A2
TRACT;06029001600;06;029;16.00;A2
TRACT;06029001700;06;029;17.00;A2
TRACT;06029001801;06;029;18.01;A1,A2
TRACT;06029001803;06;029;18.03;A1
TRACT;06029001804;06;029;18.04;A1,A2
TRACT;06029001901;06;029;19.01;A2
TRACT;06029001902;06;029;19.02;A2
TRACT;06029002001;06;029;20.01;A2
TRACT;06029002002;06;029;20.02;A2
TRACT;06029002100;06;029;21.00;A2
TRACT;06029002201;06;029;22.01;A2
TRACT;06029002202;06;029;22.02;A2
TRACT;06029002302;06;029;23.02;A2
TRACT;06029002303;06;029;23.03;A2
TRACT;06029002304;06;029;23.04;A2
TRACT;06029002305;06;029;23.05;A2
TRACT;06029002401;06;029;24.01;A2
TRACT;06029002402;06;029;24.02;A2
TRACT;06029002403;06;029;24.03;A2
TRACT;06029002501;06;029;25.01;A2
TRACT;06029002502;06;029;25.02;A2
TRACT;06029002503;06;029;25.03;A2
TRACT;06029002600;06;029;26.00;A2
TRACT;06029002701;06;029;27.01;A2
TRACT;06029002702;06;029;27.02;A2
TRACT;06029002804;06;029;28.04;A1
TRACT;06029002806;06;029;28.06;A1
TRACT;06029002807;06;029;28.07;A1
TRACT;06029002811;06;029;28.11;A1
TRACT;06029002813;06;029;28.13;A1,A2
TRACT;06029002814;06;029;28.14;A1,A2
TRACT;06029002815;06;029;28.15;A1,A2
TRACT;06029002816;06;029;28.16;A1
TRACT;06029002817;06;029;28.17;A1
TRACT;06029002818;06;029;28.18;A1
TRACT;06029002819;06;029;28.19;A1
TRACT;06029002820;06;029;28.20;A1
TRACT;06029002821;06;029;28.21;A1
TRACT;06029002822;06;029;28.22;A1
TRACT;06029002823;06;029;28.23;A1
TRACT;06029002824;06;029;28.24;A1
TRACT;06029002825;06;029;28.25;A1,A2
TRACT;06029002901;06;029;29.01;A2
TRACT;06029002902;06;029;29.02;A2
TRACT;06029003001;06;029;30.01;A2
TRACT;06029003002;06;029;30.02;A2
TRACT;06029003103;06;029;31.03;A2
TRACT;06029003112;06;029;31.12;A1,A2
TRACT;06029003113;06;029;31.13;A2
TRACT;06029003124;06;029;31.24;A1
TRACT;06029003125;06;029;31.25;A2
TRACT;06029003126;06;029;31.26;A2
TRACT;06029003127;06;029;31.27;A2
TRACT;06029003128;06;029;31.28;A2
TRACT;06029003129;06;029;31.29;A1
TRACT;06029003130;06;029;31.30;A1
TRACT;06029003131;06;029;31.31;A1
TRACT;06029003132;06;029;31.32;A1,A2
TRACT;06029003133;06;029;31.33;A1,A2
TRACT;06029003134;06;029;31.34;A1
TRACT;06029003135;06;029;31.35;A1
TRACT;06029003136;06;029;31.36;A2
TRACT;06029003137;06;029;31.37;A2
TRACT;06029003203;06;029;32.03;A1
TRACT;06029003207;06;029;32.07;A2
TRACT;06029003208;06;029;32.08;A2
TRACT;06029003209;06;029;32.09;A1,A2
TRACT;06029003210;06;029;32.10;A1,A2
TRACT;06029003211;06;029;32.11;A2
TRACT;06029003212;06;029;32.12;A1
TRACT;06029003213;06;029;32.13;A1
TRACT;06029003214;06;029;32.14;A2
TRACT;06029003215;06;029;32.15;A2
TRACT;06029003216;06;029;32.16;A2
TRACT;06029003217;06;029;32.17;A2
TRACT;06029003218;06;029;32.18;A1
TRACT;06029003219;06;029;32.19;A1
TRACT;06029003220;06;029;32.20;A1,A2
TRACT;06029003221;06;029;32.21;1
TRACT;06029003222;06;029;32.22;1
TRACT;06029003303;06;029;33.03;1
TRACT;06029003304;06;029;33.04;1
TRACT;06029003305;06;029;33.05;1
TRACT;06029003307;06;029;33.07;1
TRACT;06029003308;06;029;33.08;1
TRACT;06029003400;06;029;34.00;1
TRACT;06029003500;06;029;35.00;1
TRACT;06029003600;06;029;36.00;1
TRACT;06029003806;06;029;38.06;A1
TRACT;06029003807;06;029;38.07;A1
TRACT;06029003808;06;029;38.08;A1
TRACT;06029003810;06;029;38.10;A1
TRACT;06029003811;06;029;38.11;A1
TRACT;06029003812;06;029;38.12;A1
TRACT;06029003814;06;029;38.14;A1
TRACT;06029003815;06;029;38.15;A1
TRACT;06029003816;06;029;38.16;A1
TRACT;06029003817;06;029;38.17;A1
TRACT;06029003818;06;029;38.18;A1
TRACT;06029003819;06;029;38.19;A1
TRACT;06029003820;06;029;38.20;A1
TRACT;06029003821;06;029;38.21;A1
TRACT;06029003822;06;029;38.22;A1
TRACT;06029003823;06;029;38.23;A1
TRACT;06029003824;06;029;38.24;A1
TRACT;06029003825;06;029;38.25;A1
TRACT;06029003826;06;029;38.26;A1
TRACT;06029003827;06;029;38.27;1
TRACT;06029003900;06;029;39.00;1
TRACT;06029004001;06;029;40.01;1
TRACT;06029004002;06;029;40.02;1
TRACT;06029004101;06;029;41.01;1
TRACT;06029004102;06;029;41.02;1
TRACT;06029004302;06;029;43.02;1
TRACT;06029004303;06;029;43.03;1
TRACT;06029004304;06;029;43.04;1
TRACT;06029004305;06;029;43.05;1
TRACT;06029004402;06;029;44.02;1
TRACT;06029004403;06;029;44.03;1
TRACT;06029004404;06;029;44.04;1
TRACT;06029004500;06;029;45.00;1
TRACT;06029004601;06;029;46.01;1
TRACT;06029004603;06;029;46.03;1
TRACT;06029004605;06;029;46.05;1
TRACT;06029004606;06;029;46.06;1
TRACT;06029004607;06;029;46.07;1
TRACT;06029004702;06;029;47.02;1
TRACT;06029004703;06;029;47.03;1
TRACT;06029004704;06;029;47.04;1
TRACT;06029004801;06;029;48.01;1
TRACT;06029004802;06;029;48.02;1
TRACT;06029004901;06;029;49.01;1
TRACT;06029004903;06;029;49.03;1
TRACT;06029004904;06;029;49.04;1
TRACT;06029005003;06;029;50.03;1
TRACT;06029005005;06;029;50.05;1
TRACT;06029005006;06;029;50.06;1
TRACT;06029005103;06;029;51.03;1
TRACT;06029005104;06;029;51.04;1
TRACT;06029005203;06;029;52.03;1
TRACT;06029005205;06;029;52.05;1
TRACT;06029005206;06;029;52.06;1
TRACT;06029005207;06;029;52.07;1
TRACT;06029005208;06;029;52.08;1
TRACT;06029005300;06;029;53.00;1
TRACT;06029005402;06;029;54.02;1
TRACT;06029005405;06;029;54.05;1
TRACT;06029005406;06;029;54.06;1
TRACT;06029005407;06;029;54.07;1
TRACT;06029005408;06;029;54.08;1
TRACT;06029005409;06;029;54.09;1
TRACT;06029005410;06;029;54.10;1
TRACT;06029005508;06;029;55.08;1
TRACT;06029005509;06;029;55.09;1
TRACT;06029005510;06;029;55.10;1
TRACT;06029005511;06;029;55.11;1
TRACT;06029005512;06;029;55.12;1
TRACT;06029005513;06;029;55.13;1
TRACT;06029005514;06;029;55.14;1
TRACT;06029005600;06;029;56.00;1
TRACT;06029005700;06;029;57.00;1
TRACT;06029005803;06;029;58.03;1
TRACT;06029005804;06;029;58.04;1
TRACT;06029005805;06;029;58.05;1
TRACT;06029005806;06;029;58.06;1
TRACT;06029005900;06;029;59.00;1
TRACT;06029006002;06;029;60.02;1
TRACT;06029006003;06;029;60.03;1
TRACT;06029006004;06;029;60.04;1
TRACT;06029006006;06;029;60.06;1
TRACT;06029006009;06;029;60.09;1
TRACT;06029006010;06;029;60.10;1
TRACT;06029006011;06;029;60.11;1
TRACT;06029006012;06;029;60.12;1
TRACT;06029006101;06;029;61.01;1
TRACT;06029006102;06;029;61.02;1
TRACT;06029006201;06;029;62.01;1
TRACT;06029006202;06;029;62.02;1
TRACT;06029006301;06;029;63.01;1
TRACT;06029006303;06;029;63.03;1
TRACT;06029006304;06;029;63.04;1
TRACT;06029006403;06;029;64.03;1
TRACT;06029006404;06;029;64.04;1
TRACT;06029006405;06;029;64.05;1
TRACT;06029006406;06;029;64.06;1
TRACT;06029006500;06;029;65.00;1
TRACT;06029006600;06;029;66.00;1
