TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06025010101;06;025;101.01;1
TRACT;06025010102;06;025;101.02;1
TRACT;06025010200;06;025;102.00;1
TRACT;06025010300;06;025;103.00;1
TRACT;06025010401;06;025;104.01;1
TRACT;06025010402;06;025;104.02;1
TRACT;06025010500;06;025;105.00;1
TRACT;06025010600;06;025;106.00;1
TRACT;06025010700;06;025;107.00;1
TRACT;06025010800;06;025;108.00;1,2
TRACT;06025010900;06;025;109.00;1
TRACT;06025011001;06;025;110.01;1
TRACT;06025011002;06;025;110.02;1
TRACT;06025011100;06;025;111.00;1
TRACT;06025011201;06;025;112.01;1
TRACT;06025011202;06;025;112.02;1
TRACT;06025011301;06;025;113.01;1
TRACT;06025011302;06;025;113.02;1
TRACT;06025011303;06;025;113.03;1
TRACT;06025011400;06;025;114.00;1
TRACT;06025011500;06;025;115.00;1
TRACT;06025011600;06;025;116.00;1
TRACT;06025011700;06;025;117.00;1
TRACT;06025011801;06;025;118.01;1
TRACT;06025011802;06;025;118.02;1
TRACT;06025011803;06;025;118.03;1
TRACT;06025011901;06;025;119.01;1
TRACT;06025011902;06;025;119.02;1
TRACT;06025011903;06;025;119.03;1,2
TRACT;06025012001;06;025;120.01;1
TRACT;06025012003;06;025;120.03;1
TRACT;06025012004;06;025;120.04;1
TRACT;06025012101;06;025;121.01;1
TRACT;06025012102;06;025;121.02;1
TRACT;06025012201;06;025;122.01;1
TRACT;06025012202;06;025;122.02;1
TRACT;06025012301;06;025;123.01;1
TRACT;06025012302;06;025;123.02;1
TRACT;06025012400;06;025;124.00;1,2
TRACT;06025940000;06;025;9400.00;2
