TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06037101110;06;037;1011.10;1
TRACT;06037101122;06;037;1011.22;1
TRACT;06037101220;06;037;1012.20;1
TRACT;06037101221;06;037;1012.21;1
TRACT;06037101222;06;037;1012.22;1
TRACT;06037101300;06;037;1013.00;1
TRACT;06037101400;06;037;1014.00;1
TRACT;06037102103;06;037;1021.03;1
TRACT;06037102104;06;037;1021.04;1
TRACT;06037102105;06;037;1021.05;1
TRACT;06037102107;06;037;1021.07;1
TRACT;06037103101;06;037;1031.01;1
TRACT;06037103102;06;037;1031.02;1
TRACT;06037103201;06;037;1032.01;1
TRACT;06037103202;06;037;1032.02;1
TRACT;06037103300;06;037;1033.00;1
TRACT;06037103401;06;037;1034.01;1
TRACT;06037103402;06;037;1034.02;1
TRACT;06037104103;06;037;1041.03;1
TRACT;06037104105;06;037;1041.05;1
TRACT;06037104108;06;037;1041.08;1
TRACT;06037104124;06;037;1041.24;1
TRACT;06037104201;06;037;1042.01;1
TRACT;06037104203;06;037;1042.03;1
TRACT;06037104204;06;037;1042.04;1
TRACT;06037104310;06;037;1043.10;1
TRACT;06037104321;06;037;1043.21;1
TRACT;06037104322;06;037;1043.22;1
TRACT;06037104401;06;037;1044.01;1
TRACT;06037104403;06;037;1044.03;1
TRACT;06037104404;06;037;1044.04;1
TRACT;06037104500;06;037;1045.00;1
TRACT;06037104610;06;037;1046.10;1
TRACT;06037104620;06;037;1046.20;1
TRACT;06037104701;06;037;1047.01;1
TRACT;06037104703;06;037;1047.03;1
TRACT;06037104704;06;037;1047.04;1
TRACT;06037104821;06;037;1048.21;1
TRACT;06037104822;06;037;1048.22;1
TRACT;06037104823;06;037;1048.23;1
TRACT;06037104824;06;037;1048.24;1
TRACT;06037106010;06;037;1060.10;1
TRACT;06037106020;06;037;1060.20;1
TRACT;06037106111;06;037;1061.11;1
TRACT;06037106112;06;037;1061.12;1
TRACT;06037106113;06;037;1061.13;1
TRACT;06037106114;06;037;1061.14;1
TRACT;06037106403;06;037;1064.03;1
TRACT;06037106405;06;037;1064.05;1
TRACT;06037106406;06;037;1064.06;1
TRACT;06037106407;06;037;1064.07;1
TRACT;06037106408;06;037;1064.08;1
TRACT;06037106510;06;037;1065.10;1
TRACT;06037106520;06;037;1065.20;1
TRACT;06037106603;06;037;1066.03;1
TRACT;06037106604;06;037;1066.04;1
TRACT;06037106641;06;037;1066.41;1
TRACT;06037106642;06;037;1066.42;1
TRACT;06037106643;06;037;1066.43;1
TRACT;06037106645;06;037;1066.45;1
TRACT;06037106646;06;037;1066.46;1
TRACT;06037106648;06;037;1066.48;1
TRACT;06037106649;06;037;1066.49;1
TRACT;06037107010;06;037;1070.10;1
TRACT;06037107020;06;037;1070.20;1
TRACT;06037108101;06;037;1081.01;1
TRACT;06037108102;06;037;1081.02;1
TRACT;06037108103;06;037;1081.03;1
TRACT;06037108104;06;037;1081.04;1
TRACT;06037108202;06;037;1082.02;1
TRACT;06037108203;06;037;1082.03;1
TRACT;06037108204;06;037;1082.04;1
TRACT;06037109100;06;037;1091.00;1
TRACT;06037109200;06;037;1092.00;1
TRACT;06037109300;06;037;1093.00;1
TRACT;06037109400;06;037;1094.00;1
TRACT;06037109500;06;037;1095.00;1
TRACT;06037109601;06;037;1096.01;1
TRACT;06037109603;06;037;1096.03;1
TRACT;06037109604;06;037;1096.04;1
TRACT;06037109700;06;037;1097.00;1
TRACT;06037109800;06;037;1098.00;1
TRACT;06037111100;06;037;1111.00;1
TRACT;06037111201;06;037;1112.01;1
TRACT;06037111202;06;037;1112.02;1
TRACT;06037111204;06;037;1112.04;1
TRACT;06037111205;06;037;1112.05;1
TRACT;06037111206;06;037;1112.06;1
TRACT;06037111302;06;037;1113.02;1
TRACT;06037111303;06;037;1113.03;1
TRACT;06037111304;06;037;1113.04;1
TRACT;06037111401;06;037;1114.01;1
TRACT;06037111402;06;037;1114.02;1
TRACT;06037113101;06;037;1131.01;1
TRACT;06037113102;06;037;1131.02;1
TRACT;06037113211;06;037;1132.11;1
TRACT;06037113212;06;037;1132.12;1
TRACT;06037113213;06;037;1132.13;1
TRACT;06037113231;06;037;1132.31;1
TRACT;06037113232;06;037;1132.32;1
TRACT;06037113234;06;037;1132.34;1
TRACT;06037113235;06;037;1132.35;1
TRACT;06037113237;06;037;1132.37;1
TRACT;06037113238;06;037;1132.38;1
TRACT;06037113239;06;037;1132.39;1
TRACT;06037113301;06;037;1133.01;1
TRACT;06037113303;06;037;1133.03;1
TRACT;06037113322;06;037;1133.22;1
TRACT;06037113323;06;037;1133.23;1
TRACT;06037113324;06;037;1133.24;1
TRACT;06037113423;06;037;1134.23;1
TRACT;06037113424;06;037;1134.24;1
TRACT;06037113425;06;037;1134.25;1
TRACT;06037113426;06;037;1134.26;1
TRACT;06037113427;06;037;1134.27;1
TRACT;06037113428;06;037;1134.28;1
TRACT;06037115101;06;037;1151.01;1
TRACT;06037115103;06;037;1151.03;1
TRACT;06037115104;06;037;1151.04;1
TRACT;06037115202;06;037;1152.02;1
TRACT;06037115203;06;037;1152.03;1
TRACT;06037115204;06;037;1152.04;1
TRACT;06037115301;06;037;1153.01;1
TRACT;06037115302;06;037;1153.02;1
TRACT;06037115401;06;037;1154.01;1
TRACT;06037115403;06;037;1154.03;1
TRACT;06037115404;06;037;1154.04;1
TRACT;06037117101;06;037;1171.01;1
TRACT;06037117102;06;037;1171.02;1
TRACT;06037117201;06;037;1172.01;1
TRACT;06037117202;06;037;1172.02;1
TRACT;06037117301;06;037;1173.01;1
TRACT;06037117302;06;037;1173.02;1
TRACT;06037117303;06;037;1173.03;1
TRACT;06037117404;06;037;1174.04;1
TRACT;06037117405;06;037;1174.05;1
TRACT;06037117407;06;037;1174.07;1
TRACT;06037117408;06;037;1174.08;1
TRACT;06037117510;06;037;1175.10;1
TRACT;06037117520;06;037;1175.20;1
TRACT;06037117530;06;037;1175.30;1
TRACT;06037119001;06;037;1190.01;1
TRACT;06037119003;06;037;1190.03;1
TRACT;06037119004;06;037;1190.04;1
TRACT;06037119201;06;037;1192.01;1
TRACT;06037119202;06;037;1192.02;1
TRACT;06037119310;06;037;1193.10;1
TRACT;06037119320;06;037;1193.20;1
TRACT;06037119340;06;037;1193.40;1
TRACT;06037119341;06;037;1193.41;1
TRACT;06037119342;06;037;1193.42;1
TRACT;06037119400;06;037;1194.00;1
TRACT;06037119700;06;037;1197.00;1
TRACT;06037119801;06;037;1198.01;1
TRACT;06037119802;06;037;1198.02;1
TRACT;06037119900;06;037;1199.00;1
