TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06097150100;06;097;1501.00;2
TRACT;06097150203;06;097;1502.03;2
TRACT;06097150204;06;097;1502.04;2
TRACT;06097150205;06;097;1502.05;2
TRACT;06097150206;06;097;1502.06;2
TRACT;06097150303;06;097;1503.03;2
TRACT;06097150304;06;097;1503.04;2
TRACT;06097150305;06;097;1503.05;2
TRACT;06097150306;06;097;1503.06;2
TRACT;06097150501;06;097;1505.01;2
TRACT;06097150502;06;097;1505.02;2
TRACT;06097150601;06;097;1506.01;2
TRACT;06097150602;06;097;1506.02;2
TRACT;06097150603;06;097;1506.03;2
TRACT;06097150607;06;097;1506.07;2
TRACT;06097150609;06;097;1506.09;2
TRACT;06097150610;06;097;1506.10;2
TRACT;06097150611;06;097;1506.11;2
TRACT;06097150612;06;097;1506.12;2
TRACT;06097150701;06;097;1507.01;2
TRACT;06097150702;06;097;1507.02;2
TRACT;06097150800;06;097;1508.00;2
TRACT;06097150901;06;097;1509.01;2
TRACT;06097150902;06;097;1509.02;2
TRACT;06097151000;06;097;1510.00;2
TRACT;06097151100;06;097;1511.00;2
TRACT;06097151203;06;097;1512.03;2
TRACT;06097151204;06;097;1512.04;2
TRACT;06097151205;06;097;1512.05;2
TRACT;06097151206;06;097;1512.06;2
TRACT;06097151301;06;097;1513.01;2
TRACT;06097151305;06;097;1513.05;2
TRACT;06097151306;06;097;1513.06;2
TRACT;06097151307;06;097;1513.07;2
TRACT;06097151308;06;097;1513.08;2
TRACT;06097151309;06;097;1513.09;2
TRACT;06097151310;06;097;1513.10;2
TRACT;06097151311;06;097;1513.11;2
TRACT;06097151403;06;097;1514.03;2
TRACT;06097151404;06;097;1514.04;2
TRACT;06097151405;06;097;1514.05;2
TRACT;06097151406;06;097;1514.06;2
TRACT;06097151503;06;097;1515.03;2
TRACT;06097151504;06;097;1515.04;2
TRACT;06097151505;06;097;1515.05;2
TRACT;06097151506;06;097;1515.06;2
TRACT;06097151601;06;097;1516.01;2
TRACT;06097151602;06;097;1516.02;2
TRACT;06097151701;06;097;1517.01;2
TRACT;06097151702;06;097;1517.02;2
TRACT;06097151800;06;097;1518.00;2
TRACT;06097151900;06;097;1519.00;2
TRACT;06097152000;06;097;1520.00;2
TRACT;06097152100;06;097;1521.00;2
TRACT;06097152201;06;097;1522.01;2
TRACT;06097152203;06;097;1522.03;2
TRACT;06097152204;06;097;1522.04;2
TRACT;06097152205;06;097;1522.05;2
TRACT;06097152300;06;097;1523.00;2
TRACT;06097152401;06;097;1524.01;2
TRACT;06097152402;06;097;1524.02;2
TRACT;06097152501;06;097;1525.01;2
TRACT;06097152502;06;097;1525.02;2
TRACT;06097152601;06;097;1526.01;2
TRACT;06097152602;06;097;1526.02;2
TRACT;06097152701;06;097;1527.01;2
TRACT;06097152702;06;097;1527.02;2
TRACT;06097152801;06;097;1528.01;2
TRACT;06097152803;06;097;1528.03;2
TRACT;06097152804;06;097;1528.04;2
TRACT;06097152903;06;097;1529.03;2
TRACT;06097152904;06;097;1529.04;2
TRACT;06097152905;06;097;1529.05;2
TRACT;06097152906;06;097;1529.06;2
TRACT;06097153001;06;097;1530.01;2
TRACT;06097153002;06;097;1530.02;2
TRACT;06097153003;06;097;1530.03;2
TRACT;06097153005;06;097;1530.05;2
TRACT;06097153006;06;097;1530.06;2
TRACT;06097153102;06;097;1531.02;2
TRACT;06097153103;06;097;1531.03;2
TRACT;06097153104;06;097;1531.04;2
TRACT;06097153201;06;097;1532.01;2
TRACT;06097153202;06;097;1532.02;2
TRACT;06097153301;06;097;1533.01;2
TRACT;06097153302;06;097;1533.02;2
TRACT;06097153403;06;097;1534.03;2
TRACT;06097153404;06;097;1534.04;2
TRACT;06097153405;06;097;1534.05;2
TRACT;06097153406;06;097;1534.06;2
TRACT;06097153501;06;097;1535.01;2
TRACT;06097153502;06;097;1535.02;2
TRACT;06097153601;06;097;1536.01;2
TRACT;06097153602;06;097;1536.02;2
TRACT;06097153705;06;097;1537.05;2
TRACT;06097153707;06;097;1537.07;1
TRACT;06097153708;06;097;1537.08;1,2
TRACT;06097153709;06;097;1537.09;1,2
TRACT;06097153710;06;097;1537.10;1,2
TRACT;06097153711;06;097;1537.11;2
TRACT;06097153712;06;097;1537.12;2
TRACT;06097153804;06;097;1538.04;2
TRACT;06097153806;06;097;1538.06;2
TRACT;06097153807;06;097;1538.07;2
TRACT;06097153808;06;097;1538.08;2
TRACT;06097153809;06;097;1538.09;2
TRACT;06097153810;06;097;1538.10;2
TRACT;06097153811;06;097;1538.11;2
TRACT;06097153902;06;097;1539.02;2
TRACT;06097153903;06;097;1539.03;2
TRACT;06097153904;06;097;1539.04;2
TRACT;06097153905;06;097;1539.05;2
TRACT;06097154000;06;097;1540.00;1,2
TRACT;06097154100;06;097;1541.00;1,2
TRACT;06097154201;06;097;1542.01;1,2
TRACT;06097154202;06;097;1542.02;1,2
TRACT;06097154304;06;097;1543.04;1,2
TRACT;06097154305;06;097;1543.05;1,2
TRACT;06097154306;06;097;1543.06;1,2
TRACT;06097154307;06;097;1543.07;1
TRACT;06097154308;06;097;1543.08;1
TRACT;06097990100;06;097;9901.00;1
