TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06067000100;06;067;1.00;1
TRACT;06067000200;06;067;2.00;1
TRACT;06067000300;06;067;3.00;1
TRACT;06067000400;06;067;4.00;1
TRACT;06067000501;06;067;5.01;1
TRACT;06067000502;06;067;5.02;1
TRACT;06067000600;06;067;6.00;1
TRACT;06067000700;06;067;7.00;1
TRACT;06067000800;06;067;8.00;1
TRACT;06067001102;06;067;11.02;1
TRACT;06067001103;06;067;11.03;1
TRACT;06067001201;06;067;12.01;1
TRACT;06067001202;06;067;12.02;1
TRACT;06067001300;06;067;13.00;1
TRACT;06067001400;06;067;14.00;1
TRACT;06067001500;06;067;15.00;1
TRACT;06067001601;06;067;16.01;1
TRACT;06067001602;06;067;16.02;1
TRACT;06067001701;06;067;17.01;1
TRACT;06067001702;06;067;17.02;1
TRACT;06067001800;06;067;18.00;1
TRACT;06067001900;06;067;19.00;1
TRACT;06067002000;06;067;20.00;1
TRACT;06067002100;06;067;21.00;1
TRACT;06067002200;06;067;22.00;1
TRACT;06067002300;06;067;23.00;1
TRACT;06067002400;06;067;24.00;1
TRACT;06067002500;06;067;25.00;1
TRACT;06067002600;06;067;26.00;1
TRACT;06067002700;06;067;27.00;1
TRACT;06067002800;06;067;28.00;1
TRACT;06067002900;06;067;29.00;1
TRACT;06067003001;06;067;30.01;1
TRACT;06067003002;06;067;30.02;1
TRACT;06067003101;06;067;31.01;1
TRACT;06067003102;06;067;31.02;1
TRACT;06067003202;06;067;32.02;1
TRACT;06067003203;06;067;32.03;1
TRACT;06067003204;06;067;32.04;1
TRACT;06067003300;06;067;33.00;1
TRACT;06067003400;06;067;34.00;1
TRACT;06067003501;06;067;35.01;1
TRACT;06067003502;06;067;35.02;1
TRACT;06067003600;06;067;36.00;1
TRACT;06067003700;06;067;37.00;1
TRACT;06067003800;06;067;38.00;1
TRACT;06067003900;06;067;39.00;1
TRACT;06067004005;06;067;40.05;1
TRACT;06067004006;06;067;40.06;1
TRACT;06067004008;06;067;40.08;1
TRACT;06067004011;06;067;40.11;1
TRACT;06067004012;06;067;40.12;1
TRACT;06067004013;06;067;40.13;1
TRACT;06067004014;06;067;40.14;1
TRACT;06067004015;06;067;40.15;1
TRACT;06067004016;06;067;40.16;1
TRACT;06067004017;06;067;40.17;1
TRACT;06067004018;06;067;40.18;1
TRACT;06067004019;06;067;40.19;1
TRACT;06067004020;06;067;40.20;1
TRACT;06067004100;06;067;41.00;1
TRACT;06067004201;06;067;42.01;1
TRACT;06067004202;06;067;42.02;1
TRACT;06067004203;06;067;42.03;1
TRACT;06067004301;06;067;43.01;1
TRACT;06067004302;06;067;43.02;1
TRACT;06067004401;06;067;44.01;1
TRACT;06067004402;06;067;44.02;1
TRACT;06067004501;06;067;45.01;1
TRACT;06067004502;06;067;45.02;1
TRACT;06067004602;06;067;46.02;1
TRACT;06067004603;06;067;46.03;1
TRACT;06067004604;06;067;46.04;1
TRACT;06067004701;06;067;47.01;1
TRACT;06067004702;06;067;47.02;1
TRACT;06067004801;06;067;48.01;1
TRACT;06067004802;06;067;48.02;1
TRACT;06067004904;06;067;49.04;1
TRACT;06067004906;06;067;49.06;1
TRACT;06067004907;06;067;49.07;1
TRACT;06067004908;06;067;49.08;1
TRACT;06067004909;06;067;49.09;1
TRACT;06067004910;06;067;49.10;1
TRACT;06067005002;06;067;50.02;1
TRACT;06067005003;06;067;50.03;1
TRACT;06067005004;06;067;50.04;1
TRACT;06067005101;06;067;51.01;1
TRACT;06067005102;06;067;51.02;1
TRACT;06067005201;06;067;52.01;1
TRACT;06067005202;06;067;52.02;1
TRACT;06067005204;06;067;52.04;1
TRACT;06067005205;06;067;52.05;1
TRACT;06067005301;06;067;53.01;1
TRACT;06067005402;06;067;54.02;1
TRACT;06067005403;06;067;54.03;1
TRACT;06067005404;06;067;54.04;1
TRACT;06067005502;06;067;55.02;1
TRACT;06067005505;06;067;55.05;1
TRACT;06067005506;06;067;55.06;1
TRACT;06067005508;06;067;55.08;1
TRACT;06067005509;06;067;55.09;1
TRACT;06067005510;06;067;55.10;1
TRACT;06067005601;06;067;56.01;1
TRACT;06067005605;06;067;56.05;1
TRACT;06067005606;06;067;56.06;1
TRACT;06067005701;06;067;57.01;1
TRACT;06067005702;06;067;57.02;1
TRACT;06067005801;06;067;58.01;1
TRACT;06067005803;06;067;58.03;1
TRACT;06067005804;06;067;58.04;1
TRACT;06067005901;06;067;59.01;1
TRACT;06067005903;06;067;59.03;1
TRACT;06067005904;06;067;59.04;1
TRACT;06067006002;06;067;60.02;1
TRACT;06067006003;06;067;60.03;1
TRACT;06067006004;06;067;60.04;1
TRACT;06067006101;06;067;61.01;1
TRACT;06067006102;06;067;61.02;1
TRACT;06067006202;06;067;62.02;1
TRACT;06067006203;06;067;62.03;1
TRACT;06067006204;06;067;62.04;1
TRACT;06067006300;06;067;63.00;1
TRACT;06067006400;06;067;64.00;1
TRACT;06067006501;06;067;65.01;1
TRACT;06067006502;06;067;65.02;1
TRACT;06067006600;06;067;66.00;1
TRACT;06067006703;06;067;67.03;1
TRACT;06067006704;06;067;67.04;1
TRACT;06067006705;06;067;67.05;1
TRACT;06067006706;06;067;67.06;1
TRACT;06067006801;06;067;68.01;1
TRACT;06067006802;06;067;68.02;1
TRACT;06067006803;06;067;68.03;1
TRACT;06067006901;06;067;69.01;1
TRACT;06067006902;06;067;69.02;1
TRACT;06067007001;06;067;70.01;1
TRACT;06067007007;06;067;70.07;1
TRACT;06067007010;06;067;70.10;1
TRACT;06067007011;06;067;70.11;1
TRACT;06067007012;06;067;70.12;1
TRACT;06067007013;06;067;70.13;1
TRACT;06067007016;06;067;70.16;1
TRACT;06067007017;06;067;70.17;1
TRACT;06067007019;06;067;70.19;1
TRACT;06067007020;06;067;70.20;1
TRACT;06067007021;06;067;70.21;1
TRACT;06067007022;06;067;70.22;1
TRACT;06067007023;06;067;70.23;1
TRACT;06067007024;06;067;70.24;1
TRACT;06067007025;06;067;70.25;1
TRACT;06067007026;06;067;70.26;1
TRACT;06067007027;06;067;70.27;1
TRACT;06067007028;06;067;70.28;1
TRACT;06067007101;06;067;71.01;1
TRACT;06067007103;06;067;71.03;1
TRACT;06067007105;06;067;71.05;1
TRACT;06067007106;06;067;71.06;1
TRACT;06067007107;06;067;71.07;1
TRACT;06067007108;06;067;71.08;1
TRACT;06067007109;06;067;71.09;1
TRACT;06067007110;06;067;71.10;1
TRACT;06067007111;06;067;71.11;1
TRACT;06067007202;06;067;72.02;1
TRACT;06067007204;06;067;72.04;1
TRACT;06067007206;06;067;72.06;1
TRACT;06067007207;06;067;72.07;1
TRACT;06067007208;06;067;72.08;1
TRACT;06067007209;06;067;72.09;1
TRACT;06067007301;06;067;73.01;1
TRACT;06067007402;06;067;74.02;1
TRACT;06067007403;06;067;74.03;1
TRACT;06067007413;06;067;74.13;1
TRACT;06067007414;06;067;74.14;1
TRACT;06067007415;06;067;74.15;1
TRACT;06067007416;06;067;74.16;1
TRACT;06067007417;06;067;74.17;1
TRACT;06067007422;06;067;74.22;1
TRACT;06067007423;06;067;74.23;1
TRACT;06067007424;06;067;74.24;1
TRACT;06067007426;06;067;74.26;1
TRACT;06067007427;06;067;74.27;1
TRACT;06067007428;06;067;74.28;1
TRACT;06067007429;06;067;74.29;1
TRACT;06067007430;06;067;74.30;1
TRACT;06067007431;06;067;74.31;1
TRACT;06067007432;06;067;74.32;1
TRACT;06067007434;06;067;74.34;1
TRACT;06067007435;06;067;74.35;1
TRACT;06067007436;06;067;74.36;1
TRACT;06067007437;06;067;74.37;1
TRACT;06067007438;06;067;74.38;1
TRACT;06067007439;06;067;74.39;1
TRACT;06067007501;06;067;75.01;1
TRACT;06067007503;06;067;75.03;1
TRACT;06067007504;06;067;75.04;1
TRACT;06067007602;06;067;76.02;1
TRACT;06067007603;06;067;76.03;1
TRACT;06067007604;06;067;76.04;1
TRACT;06067007701;06;067;77.01;1
TRACT;06067007702;06;067;77.02;1
TRACT;06067007801;06;067;78.01;1
TRACT;06067007802;06;067;78.02;1
TRACT;06067007903;06;067;79.03;1
TRACT;06067007904;06;067;79.04;1
TRACT;06067007905;06;067;79.05;1
TRACT;06067007906;06;067;79.06;1
TRACT;06067008005;06;067;80.05;1
TRACT;06067008006;06;067;80.06;1
TRACT;06067008007;06;067;80.07;1
TRACT;06067008008;06;067;80.08;1
TRACT;06067008009;06;067;80.09;1
TRACT;06067008010;06;067;80.10;1
TRACT;06067008111;06;067;81.11;1
TRACT;06067008113;06;067;81.13;1
TRACT;06067008117;06;067;81.17;1
TRACT;06067008119;06;067;81.19;1
TRACT;06067008120;06;067;81.20;1
TRACT;06067008122;06;067;81.22;1
TRACT;06067008124;06;067;81.24;1
TRACT;06067008125;06;067;81.25;1
TRACT;06067008127;06;067;81.27;1
TRACT;06067008128;06;067;81.28;1
TRACT;06067008129;06;067;81.29;1
TRACT;06067008130;06;067;81.30;1
TRACT;06067008131;06;067;81.31;1
TRACT;06067008132;06;067;81.32;1
TRACT;06067008133;06;067;81.33;1
TRACT;06067008134;06;067;81.34;1
TRACT;06067008135;06;067;81.35;1
TRACT;06067008136;06;067;81.36;1
TRACT;06067008137;06;067;81.37;1
TRACT;06067008138;06;067;81.38;1
TRACT;06067008139;06;067;81.39;1
TRACT;06067008140;06;067;81.40;1
TRACT;06067008141;06;067;81.41;1
TRACT;06067008142;06;067;81.42;1
TRACT;06067008143;06;067;81.43;1
TRACT;06067008144;06;067;81.44;1
TRACT;06067008145;06;067;81.45;1
TRACT;06067008203;06;067;82.03;1
TRACT;06067008204;06;067;82.04;1
TRACT;06067008206;06;067;82.06;1
TRACT;06067008207;06;067;82.07;1
TRACT;06067008208;06;067;82.08;1
TRACT;06067008209;06;067;82.09;1
TRACT;06067008210;06;067;82.10;1
TRACT;06067008211;06;067;82.11;1
TRACT;06067008402;06;067;84.02;1
TRACT;06067008403;06;067;84.03;1
TRACT;06067008404;06;067;84.04;1
