TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06055200201;06;055;2002.01;1
TRACT;06055200202;06;055;2002.02;1
TRACT;06055200203;06;055;2002.03;1
TRACT;06055200301;06;055;2003.01;1
TRACT;06055200302;06;055;2003.02;1
TRACT;06055200400;06;055;2004.00;1
TRACT;06055200501;06;055;2005.01;1
TRACT;06055200503;06;055;2005.03;1
TRACT;06055200504;06;055;2005.04;1
TRACT;06055200505;06;055;2005.05;1
TRACT;06055200601;06;055;2006.01;1
TRACT;06055200602;06;055;2006.02;1
TRACT;06055200703;06;055;2007.03;1
TRACT;06055200704;06;055;2007.04;1
TRACT;06055200705;06;055;2007.05;1
TRACT;06055200706;06;055;2007.06;1
TRACT;06055200707;06;055;2007.07;1
TRACT;06055200802;06;055;2008.02;1
TRACT;06055200803;06;055;2008.03;1
TRACT;06055200804;06;055;2008.04;1
TRACT;06055200900;06;055;2009.00;1
TRACT;06055201003;06;055;2010.03;1
TRACT;06055201004;06;055;2010.04;1
TRACT;06055201005;06;055;2010.05;1
TRACT;06055201006;06;055;2010.06;1
TRACT;06055201007;06;055;2010.07;1
TRACT;06055201101;06;055;2011.01;1
TRACT;06055201102;06;055;2011.02;1
TRACT;06055201200;06;055;2012.00;1
TRACT;06055201300;06;055;2013.00;1
TRACT;06055201401;06;055;2014.01;1
TRACT;06055201402;06;055;2014.02;1
TRACT;06055201403;06;055;2014.03;1
TRACT;06055201500;06;055;2015.00;1
TRACT;06055201601;06;055;2016.01;1
TRACT;06055201602;06;055;2016.02;1
TRACT;06055201700;06;055;2017.00;1
TRACT;06055201800;06;055;2018.00;1
TRACT;06055201900;06;055;2019.00;1
TRACT;06055202000;06;055;2020.00;1
