TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06079010016;06;079;100.16;1
TRACT;06079010017;06;079;100.17;1
TRACT;06079010101;06;079;101.01;1
TRACT;06079010103;06;079;101.03;1
TRACT;06079010104;06;079;101.04;1
TRACT;06079010202;06;079;102.02;1
TRACT;06079010204;06;079;102.04;1
TRACT;06079010205;06;079;102.05;1
TRACT;06079010206;06;079;102.06;1
TRACT;06079010207;06;079;102.07;1
TRACT;06079010301;06;079;103.01;1,2
TRACT;06079010302;06;079;103.02;1
TRACT;06079010303;06;079;103.03;1,2
TRACT;06079010403;06;079;104.03;1
TRACT;06079010404;06;079;104.04;1
TRACT;06079010504;06;079;105.04;1
TRACT;06079010505;06;079;105.05;1
TRACT;06079010506;06;079;105.06;1
TRACT;06079010602;06;079;106.02;1
TRACT;06079010603;06;079;106.03;1
TRACT;06079010701;06;079;107.01;1
TRACT;06079010703;06;079;107.03;1
TRACT;06079010707;06;079;107.07;1
TRACT;06079010902;06;079;109.02;1
TRACT;06079010903;06;079;109.03;1
TRACT;06079010904;06;079;109.04;1
TRACT;06079011001;06;079;110.01;1
TRACT;06079011002;06;079;110.02;1
TRACT;06079011101;06;079;111.01;1
TRACT;06079011103;06;079;111.03;1
TRACT;06079011104;06;079;111.04;1
TRACT;06079011105;06;079;111.05;1
TRACT;06079011201;06;079;112.01;1
TRACT;06079011202;06;079;112.02;1
TRACT;06079011300;06;079;113.00;1
TRACT;06079011400;06;079;114.00;1
TRACT;06079011501;06;079;115.01;1
TRACT;06079011505;06;079;115.05;1,2
TRACT;06079011600;06;079;116.00;1
TRACT;06079011704;06;079;117.04;1
TRACT;06079011705;06;079;117.05;1
TRACT;06079011706;06;079;117.06;1
TRACT;06079011800;06;079;118.00;1
TRACT;06079011901;06;079;119.01;1
TRACT;06079011903;06;079;119.03;1
TRACT;06079011904;06;079;119.04;1
TRACT;06079012001;06;079;120.01;1
TRACT;06079012002;06;079;120.02;1
TRACT;06079012102;06;079;121.02;1
TRACT;06079012201;06;079;122.01;1
TRACT;06079012202;06;079;122.02;1
TRACT;06079012302;06;079;123.02;1,2
TRACT;06079012305;06;079;123.05;1
TRACT;06079012306;06;079;123.06;1,2
TRACT;06079012403;06;079;124.03;1
TRACT;06079012404;06;079;124.04;1
TRACT;06079012405;06;079;124.05;1
TRACT;06079012406;06;079;124.06;1
TRACT;06079012502;06;079;125.02;1
TRACT;06079012503;06;079;125.03;1
TRACT;06079012505;06;079;125.05;1
TRACT;06079012601;06;079;126.01;1
TRACT;06079012602;06;079;126.02;1
TRACT;06079012705;06;079;127.05;1,2
TRACT;06079012706;06;079;127.06;1
TRACT;06079012707;06;079;127.07;1
TRACT;06079012708;06;079;127.08;1,2
TRACT;06079013000;06;079;130.00;1
TRACT;06079013100;06;079;131.00;1,2
TRACT;06079990000;06;079;9900.00;1
