TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06031000100;06;031;1.00;1
TRACT;06031000200;06;031;2.00;1
TRACT;06031000402;06;031;4.02;1
TRACT;06031000403;06;031;4.03;1
TRACT;06031000405;06;031;4.05;1
TRACT;06031000406;06;031;4.06;1
TRACT;06031000407;06;031;4.07;1
TRACT;06031000500;06;031;5.00;1
TRACT;06031000602;06;031;6.02;1
TRACT;06031000603;06;031;6.03;1
TRACT;06031000604;06;031;6.04;1
TRACT;06031000701;06;031;7.01;1
TRACT;06031000702;06;031;7.02;1
TRACT;06031000800;06;031;8.00;1
TRACT;06031000901;06;031;9.01;1
TRACT;06031000902;06;031;9.02;1
TRACT;06031001001;06;031;10.01;1
TRACT;06031001002;06;031;10.02;1
TRACT;06031001003;06;031;10.03;1
TRACT;06031001100;06;031;11.00;1
TRACT;06031001200;06;031;12.00;1
TRACT;06031001300;06;031;13.00;1
TRACT;06031001401;06;031;14.01;1
TRACT;06031001402;06;031;14.02;1
TRACT;06031001500;06;031;15.00;1
TRACT;06031001601;06;031;16.01;1
TRACT;06031001702;06;031;17.02;1
TRACT;06031001703;06;031;17.03;1
TRACT;06031980000;06;031;9800.00;1
TRACT;06031980100;06;031;9801.00;1
TRACT;06031981800;06;031;9818.00;1
