TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06077000101;06;077;1.01;1
TRACT;06077000102;06;077;1.02;1
TRACT;06077000300;06;077;3.00;1
TRACT;06077000401;06;077;4.01;1
TRACT;06077000402;06;077;4.02;1
TRACT;06077000500;06;077;5.00;1
TRACT;06077000600;06;077;6.00;1
TRACT;06077000700;06;077;7.00;1
TRACT;06077000802;06;077;8.02;1
TRACT;06077000803;06;077;8.03;1
TRACT;06077000900;06;077;9.00;1
TRACT;06077001000;06;077;10.00;1
TRACT;06077001101;06;077;11.01;1
TRACT;06077001102;06;077;11.02;1
TRACT;06077001200;06;077;12.00;1
TRACT;06077001300;06;077;13.00;1
TRACT;06077001400;06;077;14.00;1
TRACT;06077001501;06;077;15.01;1
TRACT;06077001502;06;077;15.02;1
TRACT;06077001600;06;077;16.00;1
TRACT;06077001700;06;077;17.00;1
TRACT;06077001800;06;077;18.00;1
TRACT;06077001900;06;077;19.00;1
TRACT;06077002000;06;077;20.00;1
TRACT;06077002100;06;077;21.00;1
TRACT;06077002201;06;077;22.01;1
TRACT;06077002202;06;077;22.02;1
TRACT;06077002300;06;077;23.00;1
TRACT;06077002401;06;077;24.01;1
TRACT;06077002402;06;077;24.02;1
TRACT;06077002503;06;077;25.03;1
TRACT;06077002504;06;077;25.04;1
TRACT;06077002701;06;077;27.01;1
TRACT;06077002702;06;077;27.02;1
TRACT;06077002800;06;077;28.00;1
TRACT;06077003106;06;077;31.06;1
TRACT;06077003108;06;077;31.08;1
TRACT;06077003109;06;077;31.09;1
TRACT;06077003110;06;077;31.10;1
TRACT;06077003111;06;077;31.11;1
TRACT;06077003112;06;077;31.12;1
TRACT;06077003115;06;077;31.15;1
TRACT;06077003116;06;077;31.16;1
TRACT;06077003117;06;077;31.17;1
TRACT;06077003118;06;077;31.18;1
TRACT;06077003119;06;077;31.19;1
TRACT;06077003203;06;077;32.03;1
TRACT;06077003205;06;077;32.05;1
TRACT;06077003209;06;077;32.09;1
TRACT;06077003210;06;077;32.10;1
TRACT;06077003213;06;077;32.13;1
TRACT;06077003214;06;077;32.14;1
TRACT;06077003215;06;077;32.15;1
TRACT;06077003216;06;077;32.16;1
TRACT;06077003217;06;077;32.17;1
TRACT;06077003218;06;077;32.18;1
TRACT;06077003219;06;077;32.19;1
TRACT;06077003305;06;077;33.05;1
TRACT;06077003306;06;077;33.06;1
TRACT;06077003307;06;077;33.07;1
TRACT;06077003308;06;077;33.08;1
TRACT;06077003310;06;077;33.10;1
TRACT;06077003311;06;077;33.11;1
TRACT;06077003312;06;077;33.12;1
TRACT;06077003313;06;077;33.13;1
TRACT;06077003403;06;077;34.03;1
TRACT;06077003404;06;077;34.04;1
TRACT;06077003405;06;077;34.05;1
