TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06075010101;06;075;101.01;3
TRACT;06075010102;06;075;101.02;3
TRACT;06075010201;06;075;102.01;3
TRACT;06075010202;06;075;102.02;3
TRACT;06075010300;06;075;103.00;3
TRACT;06075010401;06;075;104.01;3
TRACT;06075010402;06;075;104.02;3
TRACT;06075010500;06;075;105.00;3
TRACT;06075010600;06;075;106.00;3
TRACT;06075010701;06;075;107.01;3
TRACT;06075010702;06;075;107.02;3
TRACT;06075010800;06;075;108.00;3
TRACT;06075010901;06;075;109.01;3
TRACT;06075010902;06;075;109.02;3
TRACT;06075011001;06;075;110.01;3
TRACT;06075011002;06;075;110.02;3
TRACT;06075011101;06;075;111.01;3
TRACT;06075011102;06;075;111.02;3
TRACT;06075011200;06;075;112.00;3
TRACT;06075011300;06;075;113.00;3
TRACT;06075011700;06;075;117.00;3
TRACT;06075011800;06;075;118.00;3
TRACT;06075011901;06;075;119.01;3
TRACT;06075011902;06;075;119.02;3
TRACT;06075012001;06;075;120.01;3
TRACT;06075012002;06;075;120.02;3
TRACT;06075012100;06;075;121.00;3
TRACT;06075012202;06;075;122.02;3
TRACT;06075012203;06;075;122.03;3
TRACT;06075012204;06;075;122.04;3
TRACT;06075012301;06;075;123.01;3
TRACT;06075012302;06;075;123.02;3
TRACT;06075012403;06;075;124.03;3
TRACT;06075012404;06;075;124.04;3
TRACT;06075012405;06;075;124.05;3
TRACT;06075012406;06;075;124.06;3
TRACT;06075012502;06;075;125.02;3
TRACT;06075012503;06;075;125.03;3
TRACT;06075012504;06;075;125.04;3
TRACT;06075012601;06;075;126.01;3
TRACT;06075012602;06;075;126.02;3
TRACT;06075012700;06;075;127.00;3
TRACT;06075012801;06;075;128.01;3
TRACT;06075012802;06;075;128.02;3
TRACT;06075012901;06;075;129.01;3
TRACT;06075012902;06;075;129.02;3
TRACT;06075013001;06;075;130.01;3
TRACT;06075013002;06;075;130.02;3
TRACT;06075013101;06;075;131.01;3
TRACT;06075013102;06;075;131.02;3
TRACT;06075013200;06;075;132.00;3
TRACT;06075013300;06;075;133.00;3
TRACT;06075013401;06;075;134.01;3
TRACT;06075013402;06;075;134.02;3
TRACT;06075013500;06;075;135.00;3
TRACT;06075015100;06;075;151.00;3
TRACT;06075015201;06;075;152.01;3
TRACT;06075015202;06;075;152.02;3
TRACT;06075015300;06;075;153.00;3
TRACT;06075015401;06;075;154.01;3
TRACT;06075015402;06;075;154.02;3
TRACT;06075015500;06;075;155.00;3
TRACT;06075015600;06;075;156.00;3
TRACT;06075015701;06;075;157.01;3
TRACT;06075015702;06;075;157.02;3
TRACT;06075015801;06;075;158.01;3
TRACT;06075015802;06;075;158.02;3
TRACT;06075015900;06;075;159.00;3
TRACT;06075016000;06;075;160.00;3
TRACT;06075016101;06;075;161.01;3
TRACT;06075016102;06;075;161.02;3
TRACT;06075016200;06;075;162.00;3
TRACT;06075016300;06;075;163.00;3
TRACT;06075016400;06;075;164.00;3
TRACT;06075016500;06;075;165.00;3
TRACT;06075016601;06;075;166.01;3
TRACT;06075016602;06;075;166.02;3
TRACT;06075016700;06;075;167.00;3
TRACT;06075016801;06;075;168.01;3
TRACT;06075016802;06;075;168.02;3
TRACT;06075016900;06;075;169.00;3
TRACT;06075017000;06;075;170.00;3
TRACT;06075017101;06;075;171.01;3
TRACT;06075017102;06;075;171.02;3
TRACT;06075017602;06;075;176.02;3
TRACT;06075017603;06;075;176.03;3
TRACT;06075017604;06;075;176.04;3
TRACT;06075017700;06;075;177.00;3
TRACT;06075017801;06;075;178.01;3
TRACT;06075017803;06;075;178.03;3
TRACT;06075017804;06;075;178.04;3
TRACT;06075017903;06;075;179.03;3
TRACT;06075018000;06;075;180.00;3
TRACT;06075020101;06;075;201.01;3
TRACT;06075020102;06;075;201.02;3
TRACT;06075020201;06;075;202.01;3
TRACT;06075020202;06;075;202.02;3
TRACT;06075020300;06;075;203.00;3
TRACT;06075020401;06;075;204.01;3
TRACT;06075020402;06;075;204.02;3
TRACT;06075020500;06;075;205.00;3
TRACT;06075020601;06;075;206.01;3
TRACT;06075020602;06;075;206.02;3
TRACT;06075020701;06;075;207.01;3
TRACT;06075020702;06;075;207.02;3
TRACT;06075020801;06;075;208.01;3
TRACT;06075020802;06;075;208.02;3
TRACT;06075020900;06;075;209.00;3
TRACT;06075021000;06;075;210.00;3
TRACT;06075021100;06;075;211.00;3
TRACT;06075021200;06;075;212.00;3
TRACT;06075021300;06;075;213.00;3
TRACT;06075021400;06;075;214.00;3
TRACT;06075021500;06;075;215.00;3
TRACT;06075021600;06;075;216.00;3
TRACT;06075021700;06;075;217.00;3
TRACT;06075021800;06;075;218.00;3
TRACT;06075022600;06;075;226.00;3
TRACT;06075022702;06;075;227.02;3
TRACT;06075022704;06;075;227.04;3
TRACT;06075022801;06;075;228.01;3
TRACT;06075022802;06;075;228.02;3
TRACT;06075022803;06;075;228.03;3
TRACT;06075022901;06;075;229.01;3
TRACT;06075022902;06;075;229.02;3
TRACT;06075022903;06;075;229.03;3
TRACT;06075023001;06;075;230.01;3
TRACT;06075023003;06;075;230.03;3
TRACT;06075023102;06;075;231.02;3
TRACT;06075023103;06;075;231.03;3
TRACT;06075023200;06;075;232.00;3
TRACT;06075023300;06;075;233.00;3
TRACT;06075023400;06;075;234.00;3
TRACT;06075025100;06;075;251.00;3
TRACT;06075025200;06;075;252.00;3
TRACT;06075025300;06;075;253.00;3
TRACT;06075025401;06;075;254.01;3
TRACT;06075025402;06;075;254.02;3
TRACT;06075025403;06;075;254.03;3
TRACT;06075025501;06;075;255.01;3
TRACT;06075025502;06;075;255.02;3
TRACT;06075025600;06;075;256.00;3
TRACT;06075025701;06;075;257.01;3
TRACT;06075025702;06;075;257.02;3
TRACT;06075025800;06;075;258.00;3
TRACT;06075025900;06;075;259.00;3
TRACT;06075026001;06;075;260.01;3
TRACT;06075026002;06;075;260.02;3
TRACT;06075026003;06;075;260.03;3
TRACT;06075026004;06;075;260.04;3
TRACT;06075026100;06;075;261.00;3
TRACT;06075026201;06;075;262.01;3
TRACT;06075026202;06;075;262.02;3
TRACT;06075026301;06;075;263.01;3
TRACT;06075026302;06;075;263.02;3
TRACT;06075026303;06;075;263.03;3
TRACT;06075026401;06;075;264.01;3
TRACT;06075026402;06;075;264.02;3
TRACT;06075026403;06;075;264.03;3
TRACT;06075026404;06;075;264.04;3
TRACT;06075030101;06;075;301.01;3
TRACT;06075030102;06;075;301.02;3
TRACT;06075030201;06;075;302.01;3
TRACT;06075030202;06;075;302.02;3
TRACT;06075030301;06;075;303.01;3
TRACT;06075030302;06;075;303.02;3
TRACT;06075030400;06;075;304.00;3
TRACT;06075030500;06;075;305.00;3
TRACT;06075030600;06;075;306.00;3
TRACT;06075030700;06;075;307.00;3
TRACT;06075030800;06;075;308.00;3
TRACT;06075030900;06;075;309.00;3
TRACT;06075031000;06;075;310.00;3
TRACT;06075031100;06;075;311.00;3
TRACT;06075031201;06;075;312.01;3
TRACT;06075031202;06;075;312.02;3
TRACT;06075031301;06;075;313.01;3
TRACT;06075031302;06;075;313.02;3
TRACT;06075031401;06;075;314.01;3
TRACT;06075031402;06;075;314.02;3
TRACT;06075032601;06;075;326.01;3
TRACT;06075032602;06;075;326.02;3
TRACT;06075032700;06;075;327.00;3
TRACT;06075032801;06;075;328.01;3
TRACT;06075032802;06;075;328.02;3
TRACT;06075032901;06;075;329.01;3
TRACT;06075032902;06;075;329.02;3
TRACT;06075033001;06;075;330.01;3
TRACT;06075033002;06;075;330.02;3
TRACT;06075033100;06;075;331.00;3
TRACT;06075033201;06;075;332.01;3
TRACT;06075033203;06;075;332.03;3
TRACT;06075033204;06;075;332.04;3
TRACT;06075035101;06;075;351.01;3
TRACT;06075035102;06;075;351.02;3
TRACT;06075035201;06;075;352.01;3
TRACT;06075035202;06;075;352.02;3
TRACT;06075035300;06;075;353.00;3
TRACT;06075035400;06;075;354.00;3
TRACT;06075040100;06;075;401.00;3
TRACT;06075040200;06;075;402.00;3
TRACT;06075042601;06;075;426.01;3
TRACT;06075042602;06;075;426.02;3
