"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",,"Distance to Parks"
"06","California","06001405500","Alameda County, CA - 06001405500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001405600","Alameda County, CA - 06001405600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001405700","Alameda County, CA - 06001405700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001405800","Alameda County, CA - 06001405800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001405901","Alameda County, CA - 06001405901","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001405902","Alameda County, CA - 06001405902","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406000","Alameda County, CA - 06001406000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406100","Alameda County, CA - 06001406100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406201","Alameda County, CA - 06001406201","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406202","Alameda County, CA - 06001406202","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406300","Alameda County, CA - 06001406300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406400","Alameda County, CA - 06001406400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406500","Alameda County, CA - 06001406500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406601","Alameda County, CA - 06001406601","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406602","Alameda County, CA - 06001406602","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406700","Alameda County, CA - 06001406700","2020","80.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406800","Alameda County, CA - 06001406800","2020","99.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001406900","Alameda County, CA - 06001406900","2020","90.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407000","Alameda County, CA - 06001407000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407101","Alameda County, CA - 06001407101","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407102","Alameda County, CA - 06001407102","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407200","Alameda County, CA - 06001407200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407300","Alameda County, CA - 06001407300","2020","96.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407400","Alameda County, CA - 06001407400","2020","75.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407500","Alameda County, CA - 06001407500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407600","Alameda County, CA - 06001407600","2020","96.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407700","Alameda County, CA - 06001407700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407800","Alameda County, CA - 06001407800","2020","73.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001407900","Alameda County, CA - 06001407900","2020","91.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001408000","Alameda County, CA - 06001408000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001408100","Alameda County, CA - 06001408100","2020","99.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001408200","Alameda County, CA - 06001408200","2020","86.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001408300","Alameda County, CA - 06001408300","2020","97.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001408400","Alameda County, CA - 06001408400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001408500","Alameda County, CA - 06001408500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001408600","Alameda County, CA - 06001408600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001408700","Alameda County, CA - 06001408700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001408800","Alameda County, CA - 06001408800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001408900","Alameda County, CA - 06001408900","2020","99.8%","",,"Distance to Parks: 1/2 Mile"
