ID,PM25,OZONE,CANCER
6001400100,11.3053408219178,29.385422875817,26.4966043466877
6001400200,11.2602536986301,28.5300862745098,28.2819548804253
6001400300,11.2458791780822,28.3112294117647,28.59374262243229
6001400400,11.2475778082192,28.259590196078403,28.5718113718648
6001400500,11.2274454794521,28.039771241830096,28.7812109558038
6001400600,11.2259210958904,28.0025326797386,28.8980584120426
6001400700,11.2221561643836,27.7958718954248,29.1110478169335
6001400800,11.1601989041096,27.523021568627495,28.688159965762896
6001400900,11.1800175342466,27.5908215686275,29.7728286067054
6001401000,11.217768767123298,27.789886928104597,29.372639378205395
6001401100,11.2432928767123,28.0018274509804,29.61641537079
6001401200,11.2434684931507,28.173077124183,28.636717732981605
6001401300,11.214638630136998,27.945930065359505,29.6036015620674
6001401400,11.2246219178082,27.767439869281002,29.541164273718596
6001401500,11.2088797260274,27.5852326797386,29.0603804217438
6001401600,11.2100764383562,27.569797385620905,28.667161732729
6001401700,11.1078178082192,27.1062196078431,29.5504806099561
6001401800,11.1115189041096,27.2503320261438,29.4004977026301
6001402200,11.117840273972599,27.2997901960784,29.162255756147
6001402400,11.1960495890411,27.569485620915,28.6894651753814
6001402500,11.1591756164384,27.5399490196078,28.7912575833296
6001402600,11.1706449315068,27.6630901960784,29.230252251024496
6001402700,11.2003430136986,27.7009444444444,29.1229439957688
6001402800,11.2021673972603,27.8502712418301,28.9070639468463
6001402900,11.1991895890411,27.97795751633989,28.82573428956569
6001403000,11.1656010958904,27.8969,28.8188794473866
6001403100,11.1684882191781,27.77485163398689,29.2838410785016
6001403300,11.1518101369863,28.0380215686274,29.02978260746
6001403400,11.1855526027397,28.1861444444444,28.8536676819805
6001403501,11.227944109588998,28.130675163398696,29.18392727853769
6001403502,11.2292835616438,28.2165568627451,28.9939134626497
6001403600,11.2032936986301,28.326735947712404,28.93698789195791
6001403701,11.2215736986301,28.1837052287582,28.5426941477971
6001403702,11.2071830136986,28.37552091503269,28.591131244791296
6001403800,11.2175983561644,28.677808496732,28.2132703828529
6001403900,11.2259482191781,28.4655424836601,29.181889297111
6001404000,11.2348334246575,28.30949346405229,28.4259706038922
6001404101,11.2444071232877,28.4374215686274,28.6940267364647
6001404102,11.2474553424658,28.383585620915,28.6538415378162
6001404200,11.25076,28.9607352941176,27.2567870378826
6001404300,11.2667202739726,28.8986032679739,27.8658339209134
6001404400,11.2765583561644,29.721491503268,26.7476128186277
6001404501,11.2420046575342,29.5575535947712,26.8947043409221
6001404502,11.2612509589041,30.0691751633987,26.280933881022
6001404600,11.1919789041096,30.3954137254902,25.7949720508966
6001404700,11.1845901369863,29.8051973856209,26.0782351390407
6001404800,11.1507490410959,29.57678954248369,26.2013184523164
6001404900,11.1536619178082,29.3064692810458,26.9816190323974
6001405000,11.1720049315068,29.1138777777778,27.0895186842133
6001405100,11.1940336986301,28.972037254902,27.8060430014388
6001405200,11.1907347945205,28.62530261437909,28.3763514833253
6001405301,11.1830498630137,28.41091960784309,28.7867375966396
